"yaw [deg], yaw_time [ms], yaw_crc"
"-0.65,4,3.35"
"0.99,19,19.99"
"-0.85,34,33.15"
"0.30,49,49.30"
"0.39,64,64.39"
"-0.90,79,78.10"
"0.97,94,94.97"
"-0.58,109,108.42"
"-0.09,124,123.91"
"0.72,139,139.72"
"-1.00,154,153.00"
"0.80,169,169.80"
"-0.22,184,183.78"
"-0.47,199,198.53"
"0.93,214,214.93"
"-0.94,229,228.06"
"0.50,244,244.50"
"0.18,259,259.18"
"-0.78,274,273.22"
"1.00,289,290.00"
"-0.74,304,303.26"
"0.13,319,319.13"
"0.55,334,334.55"
"-0.96,349,348.04"
"0.91,364,364.91"
"-0.42,379,378.58"
"-0.27,394,393.73"
"0.83,409,409.83"
"-0.99,424,423.01"
"0.68,439,439.68"
"-0.04,454,453.96"
"-0.62,469,468.38"
"0.98,484,484.98"
"-0.87,499,498.13"
"0.34,514,514.34"
"0.35,529,529.35"
"-0.88,544,543.12"
"0.98,559,559.98"
"-0.61,574,573.39"
"-0.05,589,588.95"
"0.69,604,604.69"
"-0.99,619,618.01"
"0.82,634,634.82"
"-0.26,649,648.74"
"-0.43,664,663.57"
"0.91,679,679.91"
"-0.96,694,693.04"
"0.54,709,709.54"
"0.14,724,724.14"
"-0.75,739,738.25"
"1.00,754,755.00"
"-0.77,769,768.23"
"0.17,784,784.17"
"0.51,799,799.51"
"-0.95,814,813.05"
"0.93,829,829.93"
"-0.46,844,843.54"
"-0.22,859,858.78"
"0.80,874,874.80"
"-1.00,889,888.00"
"0.71,904,904.71"
"-0.08,919,918.92"
"-0.58,934,933.42"
"0.97,949,949.97"
"-0.89,964,963.11"
"0.38,979,979.38"
"0.31,994,994.31"
"-0.85,1009,1008.15"
"0.99,1024,1024.99"
"-0.65,1039,1038.35"
"-0.00,1054,1054.00"
"0.65,1069,1069.65"
"-0.99,1084,1083.01"
"0.85,1099,1099.85"
"-0.30,1114,1113.70"
"-0.39,1129,1128.61"
"0.90,1144,1144.90"
"-0.97,1159,1158.03"
"0.58,1174,1174.58"
"0.09,1189,1189.09"
"-0.72,1204,1203.28"
"1.00,1219,1220.00"
"-0.80,1234,1233.20"
"0.22,1249,1249.22"
"0.47,1264,1264.47"
"-0.93,1279,1278.07"
"0.94,1294,1294.94"
"-0.50,1309,1308.50"
"-0.18,1324,1323.82"
"0.78,1339,1339.78"
"-1.00,1354,1353.00"
"0.74,1369,1369.74"
"-0.13,1384,1383.87"
"-0.55,1399,1398.45"
"0.96,1414,1414.96"
"-0.91,1429,1428.09"
"0.42,1444,1444.42"
"0.27,1459,1459.27"
"-0.83,1474,1473.17"
"0.99,1489,1489.99"
"-0.68,1504,1503.32"
"0.04,1519,1519.04"
"0.62,1534,1534.62"
"-0.98,1549,1548.02"
"0.87,1564,1564.87"
"-0.34,1579,1578.66"
"-0.35,1594,1593.65"
"0.88,1609,1609.88"
"-0.98,1624,1623.02"
"0.61,1639,1639.61"
"0.05,1654,1654.05"
"-0.69,1669,1668.31"
"0.99,1684,1684.99"
"-0.82,1699,1698.18"
"0.26,1714,1714.26"
"0.43,1729,1729.43"
"-0.91,1744,1743.09"
"0.96,1759,1759.96"
"-0.54,1774,1773.46"
"-0.14,1789,1788.86"
"0.75,1804,1804.75"
"-1.00,1819,1818.00"
"0.77,1834,1834.77"
"-0.17,1849,1848.83"
"-0.51,1864,1863.49"
"0.95,1879,1879.95"
"-0.93,1894,1893.07"
"0.46,1909,1909.46"
"0.22,1924,1924.22"
"-0.80,1939,1938.20"
"1.00,1954,1955.00"
"-0.71,1969,1968.29"
"0.08,1984,1984.08"
"0.58,1999,1999.58"
"-0.97,2014,2013.03"
"0.89,2029,2029.89"
"-0.38,2044,2043.62"
"-0.31,2059,2058.69"
"0.85,2074,2074.85"
"-0.99,2089,2088.01"
"0.65,2104,2104.65"
"0.00,2119,2119.00"
"-0.65,2134,2133.35"
"0.99,2149,2149.99"
"-0.85,2164,2163.15"
"0.30,2179,2179.30"
"0.39,2194,2194.39"
"-0.90,2209,2208.10"
"0.97,2224,2224.97"
"-0.58,2239,2238.42"
"-0.09,2254,2253.91"
"0.72,2269,2269.72"
"-1.00,2284,2283.00"
"0.80,2299,2299.80"
"-0.22,2314,2313.78"
"-0.47,2329,2328.53"
"0.93,2344,2344.93"
"-0.94,2359,2358.06"
"0.50,2374,2374.50"
"0.18,2389,2389.18"
"-0.78,2404,2403.22"
"1.00,2419,2420.00"
"-0.74,2434,2433.26"
"0.13,2449,2449.13"
"0.55,2464,2464.55"
"-0.96,2479,2478.04"
"0.91,2494,2494.91"
"-0.42,2509,2508.58"
"-0.27,2524,2523.73"
"0.83,2539,2539.83"
"-0.99,2554,2553.01"
"0.68,2569,2569.68"
"-0.04,2584,2583.96"
"-0.62,2599,2598.38"
"0.98,2614,2614.98"
"-0.87,2629,2628.13"
"0.34,2644,2644.34"
"0.35,2659,2659.35"
"-0.88,2674,2673.12"
"0.98,2689,2689.98"
"-0.61,2704,2703.39"
"-0.05,2719,2718.95"
"0.69,2734,2734.69"
"-0.99,2749,2748.01"
"0.82,2764,2764.82"
"-0.26,2779,2778.74"
"-0.43,2794,2793.57"
"0.91,2809,2809.91"
"-0.96,2824,2823.04"
"0.54,2839,2839.54"
"0.14,2854,2854.14"
"-0.75,2869,2868.25"
"1.00,2884,2885.00"
"-0.77,2899,2898.23"
"0.17,2914,2914.17"
"0.51,2929,2929.51"
"-0.95,2944,2943.05"
"0.93,2959,2959.93"
"-0.46,2974,2973.54"
"-0.22,2989,2988.78"
"0.80,3004,3004.80"
"-1.00,3019,3018.00"
"0.71,3034,3034.71"
"-0.08,3049,3048.92"
"-0.58,3064,3063.42"
"0.97,3079,3079.97"
"-0.89,3094,3093.11"
"0.38,3109,3109.38"
"0.31,3124,3124.31"
"-0.85,3139,3138.15"
"0.99,3154,3154.99"
"-0.65,3169,3168.35"
"-0.00,3184,3184.00"
"0.65,3199,3199.65"
"-0.99,3214,3213.01"
"0.85,3229,3229.85"
"-0.30,3244,3243.70"
"-0.39,3259,3258.61"
"0.90,3274,3274.90"
"-0.97,3289,3288.03"
"0.58,3304,3304.58"
"0.09,3319,3319.09"
"-0.72,3334,3333.28"
"1.00,3349,3350.00"
"-0.80,3364,3363.20"
"0.22,3379,3379.22"
"0.47,3394,3394.47"
"-0.93,3409,3408.07"
"0.94,3424,3424.94"
"-0.50,3439,3438.50"
"-0.18,3454,3453.82"
"0.78,3469,3469.78"
""
